"Anio,""Mes"",""Dia"",""latitude"",""longitude"",""altitude"",""T"",""TM"",""Tm"",""SLP"",""H"",""PP"",""VV"",""V"",""VM"",""VG"",""RA"",""SN"",""TS"",""FG"",""SN"",""TS"",""FG"""
"2020,""1"",""0"",""-13.55"",""-71.98"",""3248"",""13.1"",""19.8"",""7.5"","""",""61"",""99.05"",""9.8"",""7.6"",""23.9"","""",""19"",""0"",""3"",""0"","""","""","""""
"2020,""1"",""1"",""-13.55"",""-71.98"",""3248"",""12.3"",""21"",""7"","""",""64"",""14.99"",""10"",""7"",""24.1"","""",""0"","""","""","""","""","""","""""
"2020,""1"",""2"",""-13.55"",""-71.98"",""3248"",""12.2"",""18"",""9"","""",""70"",""3.05"",""9.3"",""7.2"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""1"",""3"",""-13.55"",""-71.98"",""3248"",""13.2"",""18.5"",""8.8"","""",""65"",""0.25"",""10"",""6.9"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""1"",""4"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""5"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""",""0"","""","""","""","""""
"2020,""1"",""6"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""7"",""-13.55"",""-71.98"",""3248"",""13.7"",""22"",""5"","""",""52"",""0"",""10"",""8.3"",""33.5"",""44.6"","""","""","""","""","""","""","""""
"2020,""1"",""8"",""-13.55"",""-71.98"",""3248"",""14.7"",""22"",""7.9"","""",""52"",""0"",""10"",""6.5"",""20.6"","""","""","""","""","""","""","""","""""
"2020,""1"",""9"",""-13.55"",""-71.98"",""3248"",""13.6"",""20"",""8.9"","""",""61"","""",""9.8"",""9.1"",""35.2"",""53.5"",""0"","""",""0"","""","""","""","""""
"2020,""1"",""10"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""11"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""12"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""1"",""13"",""-13.55"",""-71.98"",""3248"",""12.1"",""21"",""5.2"","""",""60"",""0"",""10"",""6.7"",""27.8"","""","""","""","""","""","""","""","""""
"2020,""1"",""14"",""-13.55"",""-71.98"",""3248"",""13.5"",""20"",""7.1"","""",""60"",""0"",""10"",""9.8"",""29.4"","""","""","""","""","""","""","""","""""
"2020,""1"",""15"",""-13.55"",""-71.98"",""3248"",""13.3"",""18"",""10"","""",""61"","""",""10"",""10"",""27.8"",""38.9"",""0"","""","""","""","""","""","""""
"2020,""1"",""16"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""17"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""1"",""18"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""1"",""19"",""-13.55"",""-71.98"",""3248"",""13.1"",""21"",""5.6"","""",""52"",""0"",""10"",""6.9"",""20.6"","""","""","""","""","""","""","""","""""
"2020,""1"",""20"",""-13.55"",""-71.98"",""3248"",""13.9"",""18"",""9.8"","""",""56"",""0"",""10"",""8"",""24.1"","""","""","""","""","""","""","""","""""
"2020,""1"",""21"",""-13.55"",""-71.98"",""3248"",""12.8"",""19"",""9.4"","""",""68"",""7.87"",""9.7"",""6.3"",""22.2"","""",""0"","""","""","""","""","""","""""
"2020,""1"",""22"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""23"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""24"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""25"",""-13.55"",""-71.98"",""3248"",""14.3"",""22"",""7.4"","""",""56"",""0"",""10"",""8.1"",""18.3"","""","""","""","""","""","""","""","""""
"2020,""1"",""26"",""-13.55"",""-71.98"",""3248"",""15.1"",""23"",""8"","""",""52"",""0"",""10"",""7.4"",""22.2"","""","""","""","""","""","""","""","""""
"2020,""1"",""27"",""-13.55"",""-71.98"",""3248"",""14.9"",""24"",""7"","""",""49"",""0"",""10"",""7.4"",""18.3"",""38.9"","""","""","""","""","""","""","""""
"2020,""1"",""28"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""",""0"","""","""","""","""""
"2020,""1"",""29"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""30"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""31"",""-13.55"",""-71.98"",""3248"",""12.9"",""19"",""9"","""",""67"","""",""10"",""8.3"",""22.2"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""0"",""-13.55"",""-71.98"",""3248"",""13.2"",""19.2"",""9.1"","""",""67.5"",""168.41"",""9.7"",""7.1"",""22.2"","""",""25"",""0"",""2"",""0"","""","""","""""
"2020,""2"",""1"",""-13.55"",""-71.98"",""3248"",""11.9"",""16"",""9"","""",""77"",""3.05"",""9.8"",""7.2"",""18.3"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""2"",""-13.55"",""-71.98"",""3248"",""13.2"",""19"",""9.8"","""",""70"",""7.11"",""10"",""6.9"",""24.1"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""3"",""-13.55"",""-71.98"",""3248"",""12.3"",""20"",""8"","""",""71"",""24.89"",""9.7"",""7.4"",""25.9"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""4"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""5"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""6"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""",""0"","""","""","""","""""
"2020,""2"",""7"",""-13.55"",""-71.98"",""3248"",""12.9"",""21"",""7"","""",""64"",""23.88"",""9.3"",""8.1"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""8"",""-13.55"",""-71.98"",""3248"",""11.9"",""15.2"",""8.2"","""",""76"",""10.92"",""9.5"",""8"",""29.4"","""",""0"","""",""0"","""","""","""","""""
"2020,""2"",""9"",""-13.55"",""-71.98"",""3248"",""13"",""19"",""9.9"","""",""73"",""2.03"",""9.7"",""5.2"",""18.3"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""10"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""11"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""2"",""12"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""13"",""-13.55"",""-71.98"",""3248"",""12.8"",""18"",""9.2"","""",""73"",""1.02"",""10"",""7.4"",""22.2"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""14"",""-13.55"",""-71.98"",""3248"",""12.7"",""18"",""8"","""",""71"",""9.91"",""9.5"",""7.2"",""14.8"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""15"",""-13.55"",""-71.98"",""3248"",""13.4"",""20.1"",""8.8"","""",""68"",""2.03"",""10"",""5.4"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""16"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""17"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""2"",""18"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""19"",""-13.55"",""-71.98"",""3248"",""13.2"",""21"",""7"","""",""64"",""0"",""10"",""7.6"",""29.4"","""","""","""","""","""","""","""","""""
"2020,""2"",""20"",""-13.55"",""-71.98"",""3248"",""14.1"",""19"",""10"","""",""60"","""",""10"",""8.9"",""24.1"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""21"",""-13.55"",""-71.98"",""3248"",""11.5"",""14.1"",""10"","""",""76"",""3.05"",""8.9"",""5.2"",""11.1"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""22"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""23"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""24"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""25"",""-13.55"",""-71.98"",""3248"",""14"",""20.1"",""9.8"","""",""66"",""5.08"",""9.5"",""5.7"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""26"",""-13.55"",""-71.98"",""3248"",""13.8"",""19"",""10.5"","""",""61"",""0"",""10"",""7"",""22.2"",""25.9"","""","""","""","""","""","""","""""
"2020,""2"",""27"",""-13.55"",""-71.98"",""3248"",""13.4"",""19.4"",""9.8"","""",""67"",""5.08"",""9.5"",""8"",""33.5"","""",""0"","""","""","""","""","""","""""
"2020,""2"",""28"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""2"",""29"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""3"",""0"",""-13.55"",""-71.98"",""3248"",""14.4"",""20.3"",""8.7"","""",""56.4"",""100.83"",""9.9"",""7.9"",""22.3"","""",""13"",""0"",""1"",""0"","""","""","""""
"2020,""3"",""1"",""-13.55"",""-71.98"",""3248"",""14.4"",""22"",""10"","""",""61"",""1.02"",""10"",""9.1"",""31.7"","""",""0"","""","""","""","""","""","""""
"2020,""3"",""2"",""-13.55"",""-71.98"",""3248"",""15.2"",""23"",""10.4"","""",""53"",""0"",""10"",""8.3"",""24.1"","""","""","""","""","""","""","""","""""
"2020,""3"",""3"",""-13.55"",""-71.98"",""3248"",""13.9"",""21"",""9"","""",""62"",""9.91"",""10"",""8.5"",""25.9"","""",""0"","""","""","""","""","""","""""
"2020,""3"",""4"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""5"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""3"",""6"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""7"",""-13.55"",""-71.98"",""3248"",""13.4"",""21"",""7.8"","""",""57"","""",""10"",""6.1"",""24.1"","""",""0"","""","""","""","""","""","""""
"2020,""3"",""8"",""-13.55"",""-71.98"",""3248"",""14.2"",""21"",""8.8"","""",""53"",""0.25"",""10"",""9.8"",""24.1"",""40.7"",""0"","""","""","""","""","""","""""
"2020,""3"",""9"",""-13.55"",""-71.98"",""3248"",""13.6"",""21"",""8"","""",""54"",""0"",""10"",""7"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""3"",""10"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""3"",""11"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""3"",""12"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""13"",""-13.55"",""-71.98"",""3248"",""13.5"",""18"",""7"","""",""57"",""0"",""10"",""7.8"",""16.5"","""","""","""","""","""","""","""","""""
"2020,""3"",""14"",""-13.55"",""-71.98"",""3248"",""14.7"",""21"",""8.1"","""",""52"",""0"",""10"",""8.1"",""25.9"","""","""","""","""","""","""","""","""""
"2020,""3"",""15"",""-13.55"",""-71.98"",""3248"",""13.7"",""21"",""8.6"","""",""62"",""5.08"",""8.7"",""8.1"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""3"",""16"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""",""0"","""","""","""","""""
"2020,""3"",""17"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""3"",""18"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""19"",""-13.55"",""-71.98"",""3248"",""16.3"",""22"",""6.6"","""",""50"",""0"",""10"",""7.2"",""22.2"","""","""","""","""","""","""","""","""""
"2020,""3"",""20"",""-13.55"",""-71.98"",""3248"",""16.3"",""20"",""12"","""",""48"",""0"",""10"",""7.4"",""22.2"","""","""","""","""","""","""","""","""""
"2020,""3"",""21"",""-13.55"",""-71.98"",""3248"",""13.5"",""16"",""9"","""",""60"",""0"",""10"",""5.7"",""16.5"","""","""","""","""","""","""","""","""""
"2020,""3"",""22"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""23"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""24"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""3"",""25"",""-13.55"",""-71.98"",""3248"",""16.3"",""21"",""8.9"","""",""52"",""0"",""10"",""8"",""14.8"","""","""","""","""","""","""","""","""""
"2020,""3"",""26"",""-13.55"",""-71.98"",""3248"",""17.3"",""22"",""6.8"","""",""47"",""2.03"",""10"",""9.1"",""24.1"","""","""","""","""","""","""","""","""""
"2020,""3"",""27"",""-13.55"",""-71.98"",""3248"",""15.8"",""20"",""8.8"","""",""55"",""13.97"",""9.8"",""9.6"",""24.1"","""","""","""","""","""","""","""","""""
"2020,""3"",""28"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""29"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""3"",""30"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""3"",""31"",""-13.55"",""-71.98"",""3248"",""14.6"",""20"",""8.1"","""",""54"",""0"",""10"",""5"",""20.6"","""","""","""","""","""","""","""","""""
"2020,""4"",""0"",""-13.55"",""-71.98"",""3248"",""15.6"",""20.7"",""6"","""",""46.1"",""0.51"",""10"",""6.6"",""19.2"","""",""4"",""0"",""2"",""0"","""","""","""""
"2020,""4"",""1"",""-13.55"",""-71.98"",""3248"",""15.3"",""20"",""8.3"","""",""49"",""0"",""10"",""11.3"",""25.9"",""53.5"","""","""","""","""","""","""","""""
"2020,""4"",""2"",""-13.55"",""-71.98"",""3248"",""15.7"",""20"",""4.7"","""",""46"",""0"",""10"",""7.2"",""22.2"","""","""","""","""","""","""","""","""""
"2020,""4"",""3"",""-13.55"",""-71.98"",""3248"",""15.8"",""20"",""4.7"","""",""46"",""0"",""10"",""5"",""9.4"","""","""","""","""","""","""","""","""""
"2020,""4"",""4"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""5"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""6"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""""
"2020,""4"",""7"",""-13.55"",""-71.98"",""3248"",""16.4"",""23"",""5.1"","""",""50"",""0"",""10"",""3.9"",""16.5"","""","""","""","""","""","""","""","""""
"2020,""4"",""8"",""-13.55"",""-71.98"",""3248"",""17.3"",""22"",""9.2"","""",""45"",""0"",""10"",""5"",""25.9"","""","""","""","""","""","""","""","""""
"2020,""4"",""9"",""-13.55"",""-71.98"",""3248"",""16.5"",""22"",""8"","""",""48"",""0"",""10"",""6.1"",""13"","""","""","""","""","""","""","""","""""
"2020,""4"",""10"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""4"",""11"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""12"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""13"",""-13.55"",""-71.98"",""3248"",""16.4"",""22"",""8"","""",""41"",""0"",""10"",""5.4"",""24.1"","""","""","""","""","""","""","""","""""
"2020,""4"",""14"",""-13.55"",""-71.98"",""3248"",""16.6"",""22"",""3.9"","""",""39"",""0"",""10"",""5.7"",""14.8"","""","""","""","""","""","""","""","""""
"2020,""4"",""15"",""-13.55"",""-71.98"",""3248"",""16.1"",""22"",""4.3"","""",""40"",""0"",""10"",""7.6"",""18.3"",""37"","""","""","""","""","""","""","""""
"2020,""4"",""16"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""17"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""4"",""18"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""",""0"","""","""","""","""""
"2020,""4"",""19"",""-13.55"",""-71.98"",""3248"",""13.9"",""21"",""5.9"","""",""47"",""0"",""10"",""5.6"",""13"","""","""","""","""","""","""","""","""""
"2020,""4"",""20"",""-13.55"",""-71.98"",""3248"",""15.1"",""21"",""1.7"","""",""35"",""0"",""10"",""5.4"",""14.8"","""","""","""","""","""","""","""","""""
"2020,""4"",""21"",""-13.55"",""-71.98"",""3248"",""14.9"",""22"",""1.6"","""",""33"",""0"",""10"",""4.3"",""14.8"","""","""","""","""","""","""","""","""""
"2020,""4"",""22"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""23"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""4"",""24"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""25"",""-13.55"",""-71.98"",""3248"",""15.4"",""21"",""4.7"","""",""46"",""0"",""10"",""5.4"",""14.8"","""","""","""","""","""","""","""","""""
"2020,""4"",""26"",""-13.55"",""-71.98"",""3248"",""13.7"",""17"",""5.1"","""",""62"",""0"",""10"",""4.4"",""13"","""","""","""","""","""","""","""","""""
"2020,""4"",""27"",""-13.55"",""-71.98"",""3248"",""15.6"",""20"",""8.8"","""",""45"",""0"",""10"",""8.3"",""18.3"","""","""","""","""","""","""","""","""""
"2020,""4"",""28"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""29"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""4"",""30"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
